# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Ec
# 3 Ev
# 4 eQFermi
# 5 hQFermi
# 6 eDensity
# 7 hDensity
# 8 eMobility
# 9 hMobility
# 10 ElField_x
# 11 ElField_y
# 12 ElField_z
# 13 Polarization_x
# 14 Polarization_y
# 15 Polarization_z
# 16 eCurrentDensity_x
# 17 eCurrentDensity_y
# 18 eCurrentDensity_z
# 19 hCurrentDensity_x
# 20 hCurrentDensity_y
# 21 hCurrentDensity_z
# x Ec Ev eQFermi hQFermi eDensity hDensity eMobility hMobility ElField_x ElField_y ElField_z Polarization_x Polarization_y Polarization_z eCurrentDensity_x eCurrentDensity_y eCurrentDensity_z hCurrentDensity_x hCurrentDensity_y hCurrentDensity_z 
756.921 0.0148307 -3.85487 -8.09541e-05 -2.24601 1.26433e+18 2.27541e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -7.49535e-20 0 0 
761.891 0.0148301 -3.85487 -8.14857e-05 -2.24648 1.26433e+18 2.3166e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -7.58695e-20 0 0 
766.828 0.0148296 -3.85487 -8.20137e-05 -2.24694 1.26433e+18 2.35877e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -7.6796e-20 0 0 
771.733 0.0148291 -3.85487 -8.25383e-05 -2.24741 1.26433e+18 2.40194e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -7.77332e-20 0 0 
776.605 0.0148286 -3.85487 -8.30593e-05 -2.24788 1.26433e+18 2.44613e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -7.86813e-20 0 0 
781.444 0.014828 -3.85488 -8.3577e-05 -2.24836 1.26433e+18 2.49139e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -7.96405e-20 0 0 
786.252 0.0148275 -3.85488 -8.40912e-05 -2.24884 1.26433e+18 2.53773e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -8.0611e-20 0 0 
791.028 0.014827 -3.85488 -8.4602e-05 -2.24932 1.26433e+18 2.58519e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -8.15931e-20 0 0 
795.773 0.0148265 -3.85488 -8.51094e-05 -2.2498 1.26433e+18 2.63379e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -8.2587e-20 0 0 
800.486 0.014826 -3.85488 -8.56134e-05 -2.25028 1.26433e+18 2.68358e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -8.35929e-20 0 0 
805.167 0.0148255 -3.85488 -8.61142e-05 -2.25077 1.26433e+18 2.73458e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -8.46111e-20 0 0 
809.818 0.014825 -3.85488 -8.66116e-05 -2.25126 1.26433e+18 2.78682e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -8.56419e-20 0 0 
814.438 0.0148245 -3.85488 -8.71057e-05 -2.25175 1.26433e+18 2.84036e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -8.66854e-20 0 0 
819.028 0.014824 -3.85488 -8.75966e-05 -2.25225 1.26433e+18 2.89521e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -8.7742e-20 0 0 
823.587 0.0148235 -3.85488 -8.80842e-05 -2.25274 1.26433e+18 2.95143e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -8.8812e-20 0 0 
828.116 0.0148231 -3.85488 -8.85686e-05 -2.25324 1.26433e+18 3.00904e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -8.98955e-20 0 0 
832.615 0.0148226 -3.85488 -8.90498e-05 -2.25375 1.26433e+18 3.0681e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -9.0993e-20 0 0 
837.084 0.0148221 -3.85488 -8.95278e-05 -2.25425 1.26433e+18 3.12864e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -9.21047e-20 0 0 
841.524 0.0148216 -3.85488 -9.00026e-05 -2.25476 1.26433e+18 3.19071e-08 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -9.32308e-20 0 0 
