# ASCII 1D datafile generated by TiberCAD
# x LatticeTemp ThermalFlux_x ThermalFlux_y ThermalFlux_z HeatSource ThermCond_x ThermCond_y ThermCond_z 
-71.9609 306.018 -71.6902 0 0 1580.86 1.5 1.5 1.5 
-71.2075 306.021 -71.5695 0 0 1621.5 1.5 1.5 1.5 
-70.4615 306.025 -71.447 0 0 1663.24 1.5 1.5 1.5 
-69.7229 306.028 -71.3226 0 0 1706.11 1.5 1.5 1.5 
-68.9916 306.032 -71.1962 0 0 1750.12 1.5 1.5 1.5 
-68.2676 306.035 -71.0679 0 0 1795.29 1.5 1.5 1.5 
-67.5507 306.039 -70.9375 0 0 1841.62 1.5 1.5 1.5 
-66.841 306.042 -70.8052 0 0 1889.13 1.5 1.5 1.5 
-66.1383 306.045 -70.6707 0 0 1937.83 1.5 1.5 1.5 
-65.4426 306.049 -70.5342 0 0 1987.74 1.5 1.5 1.5 
-64.7538 306.052 -70.3955 0 0 2038.87 1.5 1.5 1.5 
-64.0718 306.055 -70.2547 0 0 2091.23 1.5 1.5 1.5 
-63.3965 306.058 -70.1116 0 0 2144.84 1.5 1.5 1.5 
-62.728 306.061 -69.9664 0 0 2199.7 1.5 1.5 1.5 
-62.0661 306.064 -69.819 0 0 2255.83 1.5 1.5 1.5 
-61.4108 306.067 -69.6693 0 0 2313.23 1.5 1.5 1.5 
-60.7619 306.07 -69.5173 0 0 2371.92 1.5 1.5 1.5 
-60.1195 306.073 -69.363 0 0 2431.91 1.5 1.5 1.5 
-59.4835 306.076 -69.2064 0 0 2493.2 1.5 1.5 1.5 
-58.8538 306.079 -69.0474 0 0 2555.81 1.5 1.5 1.5 
-58.2303 306.082 -68.8861 0 0 2619.74 1.5 1.5 1.5 
-57.613 306.085 -68.7223 0 0 2685.01 1.5 1.5 1.5 
-57.0018 306.088 -68.5562 0 0 2751.62 1.5 1.5 1.5 
-56.3967 306.09 -68.3877 0 0 2819.57 1.5 1.5 1.5 
-55.7976 306.093 -68.2167 0 0 2888.88 1.5 1.5 1.5 
-55.2044 306.096 -68.0432 0 0 2959.56 1.5 1.5 1.5 
-54.6171 306.099 -67.8673 0 0 3031.6 1.5 1.5 1.5 
-54.0356 306.101 -67.6889 0 0 3105.01 1.5 1.5 1.5 
-53.4599 306.104 -67.508 0 0 3179.8 1.5 1.5 1.5 
-52.8899 306.106 -67.3246 0 0 3255.97 1.5 1.5 1.5 
-52.3256 306.109 -67.1387 0 0 3333.53 1.5 1.5 1.5 
-51.7669 306.111 -66.9502 0 0 3412.48 1.5 1.5 1.5 
-51.2137 306.114 -66.7592 0 0 3492.82 1.5 1.5 1.5 
-50.6659 306.116 -66.5657 0 0 3574.57 1.5 1.5 1.5 
-50.1237 306.119 -66.3696 0 0 3657.7 1.5 1.5 1.5 
-49.5868 306.121 -66.171 0 0 3742.24 1.5 1.5 1.5 
-49.0552 306.123 -65.9698 0 0 3828.18 1.5 1.5 1.5 
-48.5289 306.126 -65.766 0 0 3915.53 1.5 1.5 1.5 
