# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Strain_11
# 3 Strain_22
# 4 Strain_33
# 5 Strain_12
# 6 Strain_23
# 7 Strain_13
# 8 Stress_11
# 9 Stress_22
# 10 Stress_33
# 11 Stress_12
# 12 Stress_23
# 13 Stress_13
# 14 Displacement_x
# 15 Displacement_y
# 16 Displacement_z
# x Strain_11 Strain_22 Strain_33 Strain_12 Strain_23 Strain_13 Stress_11 Stress_22 Stress_33 Stress_12 Stress_23 Stress_13 Displacement_x Displacement_y Displacement_z 
1.56566 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -2.49023e-13 -3.25682 -3.25682 0 -1.81167e-14 0 1.01307e-10 0 0 
1.66667 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -1.59095e-13 -3.25682 -3.25682 0 -1.81167e-14 0 1.02866e-10 0 0 
1.76768 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -1.14131e-13 -3.25682 -3.25682 0 -1.81167e-14 0 1.04424e-10 0 0 
1.86869 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -1.14131e-13 -3.25682 -3.25682 0 -1.81167e-14 0 1.05983e-10 0 0 
1.9697 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -1.59095e-13 -3.25682 -3.25682 0 -1.81167e-14 0 1.07541e-10 0 0 
2.07071 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -2.49023e-13 -3.25682 -3.25682 0 -1.81167e-14 0 1.091e-10 0 0 
2.17172 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -3.38951e-13 -3.25682 -3.25682 0 -1.81167e-14 0 1.10658e-10 0 0 
2.27273 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -3.38951e-13 -3.25682 -3.25682 0 -1.81167e-14 0 1.12217e-10 0 0 
2.37374 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -3.38951e-13 -3.25682 -3.25682 0 -1.81167e-14 0 1.13776e-10 0 0 
2.47475 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -2.93987e-13 -3.25682 -3.25682 0 -1.81167e-14 0 1.15334e-10 0 0 
