# ASCII 1D datafile generated by TiberCAD
# x Ec Ev eQFermi hQFermi ElPotential Eg eDensity hDensity eMobility hMobility ElField_x ElField_y ElField_z CurrentDensity_x CurrentDensity_y CurrentDensity_z eCurrentDensity_x eCurrentDensity_y eCurrentDensity_z hCurrentDensity_x hCurrentDensity_y hCurrentDensity_z IonizedDonors IonizedAcceptors NetRecombination SRHRecombination AugerRecombination OpticalGeneration 
-0.2842 0.042511 -1.0763 1.47333e-07 -0.59643 2.18097 1.11881 4.96051e+18 4.56681e+11 108.05 73.0808 0.00203488 0 0 0.174677 0 0 0.171946 0 0 0.00273136 0 0 4.96051e+18 0 -8.47598e+20 1.52379e+20 2.28424e+16 -1e+21 
-0.277097 0.042511 -1.0763 1.48754e-07 -0.596058 2.18097 1.11881 4.96051e+18 4.50158e+11 108.05 73.0756 0.00203491 0 0 0.174677 0 0 0.171849 0 0 0.00282794 0 0 4.96051e+18 0 -8.49775e+20 1.50203e+20 2.25162e+16 -1e+21 
-0.270122 0.042511 -1.0763 1.5015e-07 -0.595674 2.18097 1.11881 4.96051e+18 4.43532e+11 108.05 73.0702 0.00203494 0 0 0.174677 0 0 0.171754 0 0 0.00292303 0 0 4.96051e+18 0 -8.51986e+20 1.47992e+20 2.21847e+16 -1e+21 
-0.263272 0.042511 -1.0763 1.5152e-07 -0.59528 2.18097 1.11881 4.96051e+18 4.36811e+11 108.05 73.0646 0.00203497 0 0 0.174677 0 0 0.171661 0 0 0.00301665 0 0 4.96051e+18 0 -8.54229e+20 1.45749e+20 2.18485e+16 -1e+21 
-0.256546 0.042511 -1.0763 1.52864e-07 -0.594874 2.18097 1.11881 4.96051e+18 4.30003e+11 108.05 73.0588 0.002035 0 0 0.174677 0 0 0.171569 0 0 0.00310884 0 0 4.96051e+18 0 -8.56501e+20 1.43478e+20 2.1508e+16 -1e+21 
-0.24994 0.042511 -1.0763 1.54183e-07 -0.594456 2.18097 1.11881 4.96051e+18 4.23118e+11 108.05 73.0528 0.00203502 0 0 0.174677 0 0 0.171478 0 0 0.00319961 0 0 4.96051e+18 0 -8.58799e+20 1.4118e+20 2.11636e+16 -1e+21 
-0.243453 0.042511 -1.0763 1.55478e-07 -0.594028 2.18097 1.11881 4.96051e+18 4.16162e+11 108.05 73.0466 0.00203505 0 0 0.174677 0 0 0.171388 0 0 0.00328899 0 0 4.96051e+18 0 -8.6112e+20 1.38859e+20 2.08157e+16 -1e+21 
-0.237082 0.042511 -1.0763 1.56749e-07 -0.593588 2.18097 1.11881 4.96051e+18 4.09144e+11 108.05 73.0401 0.00203508 0 0 0.174677 0 0 0.1713 0 0 0.003377 0 0 4.96051e+18 0 -8.63462e+20 1.36518e+20 2.04647e+16 -1e+21 
-0.230826 0.042511 -1.0763 1.57997e-07 -0.593137 2.18097 1.11881 4.96051e+18 4.02071e+11 108.05 73.0335 0.00203511 0 0 0.174677 0 0 0.171214 0 0 0.00346366 0 0 4.96051e+18 0 -8.65822e+20 1.34158e+20 2.01109e+16 -1e+21 
-0.224683 0.042511 -1.0763 1.59222e-07 -0.592675 2.18097 1.11881 4.96051e+18 3.9495e+11 108.05 73.0265 0.00203514 0 0 0.174677 0 0 0.171128 0 0 0.003549 0 0 4.96051e+18 0 -8.68199e+20 1.31782e+20 1.97547e+16 -1e+21 
-0.218649 0.042511 -1.0763 1.60424e-07 -0.592202 2.18097 1.11881 4.96051e+18 3.87787e+11 108.05 73.0193 0.00203517 0 0 0.174677 0 0 0.171044 0 0 0.00363304 0 0 4.96051e+18 0 -8.70589e+20 1.29392e+20 1.93965e+16 -1e+21 
-0.212724 0.042511 -1.0763 1.61604e-07 -0.591718 2.18097 1.11881 4.96051e+18 3.80589e+11 108.05 73.0118 0.0020352 0 0 0.174677 0 0 0.170962 0 0 0.0037158 0 0 4.96051e+18 0 -8.72991e+20 1.2699e+20 1.90364e+16 -1e+21 
-0.206906 0.042511 -1.0763 1.62762e-07 -0.591222 2.18097 1.11881 4.96051e+18 3.73361e+11 108.05 73.0039 0.00203522 0 0 0.174677 0 0 0.17088 0 0 0.00379729 0 0 4.96051e+18 0 -8.75403e+20 1.24578e+20 1.86749e+16 -1e+21 
-0.201192 0.042511 -1.0763 1.63898e-07 -0.590715 2.18097 1.11881 4.96051e+18 3.6611e+11 108.05 72.9958 0.00203525 0 0 0.174677 0 0 0.1708 0 0 0.00387754 0 0 4.96051e+18 0 -8.77823e+20 1.22159e+20 1.83122e+16 -1e+21 
-0.195581 0.042511 -1.0763 1.65014e-07 -0.590197 2.18097 1.11881 4.96051e+18 3.5884e+11 108.05 72.9873 0.00203528 0 0 0.174677 0 0 0.170721 0 0 0.00395657 0 0 4.96051e+18 0 -8.80249e+20 1.19733e+20 1.79486e+16 -1e+21 
-0.19007 0.042511 -1.0763 1.66109e-07 -0.589666 2.18097 1.11881 4.96051e+18 3.51557e+11 108.05 72.9784 0.00203531 0 0 0.174677 0 0 0.170643 0 0 0.00403439 0 0 4.96051e+18 0 -8.82679e+20 1.17303e+20 1.75843e+16 -1e+21 
-0.184659 0.042511 -1.0763 1.67185e-07 -0.589125 2.18097 1.11881 4.96051e+18 3.44266e+11 108.05 72.9691 0.00203534 0 0 0.174677 0 0 0.170566 0 0 0.00411103 0 0 4.96051e+18 0 -8.85113e+20 1.1487e+20 1.72196e+16 -1e+21 
