# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Ec
# 3 Ev
# 4 eQFermi
# 5 hQFermi
# 6 eDensity
# 7 hDensity
# 8 eMobility
# 9 hMobility
# 10 ElField_x
# 11 ElField_y
# 12 ElField_z
# 13 Polarization_x
# 14 Polarization_y
# 15 Polarization_z
# 16 CurrentDensity_x
# 17 CurrentDensity_y
# 18 CurrentDensity_z
# x Ec Ev eQFermi hQFermi eDensity hDensity eMobility hMobility ElField_x ElField_y ElField_z Polarization_x Polarization_y Polarization_z CurrentDensity_x CurrentDensity_y CurrentDensity_z 
-5.81978 0.0457638 -1.85088 -0.0217154 -1.74463 2.66534e+18 1.40238e+18 6116.11 284.124 -55674.7 0 0 0 0 0 -569920 0 0 
-5.64988 0.0447906 -1.85186 -0.0217186 -1.74464 3.07673e+18 1.67844e+18 6116.11 284.124 -59062 0 0 0 0 0 -569920 0 0 
-5.49493 0.0438503 -1.8528 -0.0217211 -1.74464 3.54335e+18 2.00549e+18 6116.11 284.124 -62470.6 0 0 0 0 0 -569920 0 0 
-5.35362 0.0429445 -1.8537 -0.0217232 -1.74465 4.06411e+18 2.3869e+18 6116.11 284.124 -65874.7 0 0 0 0 0 -569920 0 0 
-5.22474 0.0420746 -1.85457 -0.0217248 -1.74465 4.6363e+18 2.82504e+18 6116.11 284.124 -69243.5 0 0 0 0 0 -569920 0 0 
-5.1072 0.041242 -1.85541 -0.0217261 -1.74466 5.25578e+18 3.32105e+18 6116.11 284.124 -72542.7 0 0 0 0 0 -569920 0 0 
-5 0.0404477 -1.8562 -0.0217271 -1.74466 5.91722e+18 3.87476e+18 6116.11 284.124 -74096.7 0 0 0 0 0 -569920 0 0 
-5 -0.277923 -1.69506 -0.0217271 -1.74466 4.32857e+18 3.65344e+18 8066.54 350.526 -71178.3 0 0 0 0 0 -569920 0 0 
-4.89899 -0.278642 -1.69578 -0.021728 -1.74466 4.78892e+18 4.18647e+18 8066.54 350.526 -71604.1 0 0 0 0 0 -569920 0 0 
-4.79798 -0.27937 -1.69651 -0.0217289 -1.74466 5.25506e+18 4.7299e+18 8066.54 350.526 -72401.1 0 0 0 0 0 -569920 0 0 
-4.69697 -0.280105 -1.69724 -0.0217296 -1.74466 5.72399e+18 5.27762e+18 8066.54 350.526 -73087.8 0 0 0 0 0 -569920 0 0 
-4.59596 -0.280846 -1.69798 -0.0217303 -1.74466 6.19272e+18 5.82403e+18 8066.54 350.526 -73663.9 0 0 0 0 0 -569920 0 0 
-4.49495 -0.281593 -1.69873 -0.021731 -1.74466 6.65837e+18 6.36411e+18 8066.54 350.526 -74132.4 0 0 0 0 0 -569920 0 0 
-4.39394 -0.282344 -1.69948 -0.0217316 -1.74467 7.11815e+18 6.89347e+18 8066.54 350.526 -74499.2 0 0 0 0 0 -569920 0 0 
-4.29293 -0.283098 -1.70024 -0.0217321 -1.74467 7.56942e+18 7.40836e+18 8066.54 350.526 -74771.9 0 0 0 0 0 -569920 0 0 
-4.19192 -0.283854 -1.70099 -0.0217327 -1.74467 8.00967e+18 7.90574e+18 8066.54 350.526 -74959.2 0 0 0 0 0 -569920 0 0 
-4.09091 -0.284612 -1.70175 -0.0217332 -1.74467 8.43655e+18 8.38322e+18 8066.54 350.526 -75070.3 0 0 0 0 0 -569920 0 0 
-3.9899 -0.285371 -1.70251 -0.0217337 -1.74467 8.84795e+18 8.83903e+18 8066.54 350.526 -75114.3 0 0 0 0 0 -569920 0 0 
-3.88889 -0.28613 -1.70327 -0.0217341 -1.74467 9.2419e+18 9.27202e+18 8066.54 350.526 -75099.3 0 0 0 0 0 -569920 0 0 
-3.78788 -0.286888 -1.70403 -0.0217346 -1.74467 9.6167e+18 9.68156e+18 8066.54 350.526 -75032.2 0 0 0 0 0 -569920 0 0 
-3.68687 -0.287646 -1.70478 -0.021735 -1.74467 9.97083e+18 1.00675e+19 8066.54 350.526 -74918 0 0 0 0 0 -569920 0 0 
-3.58586 -0.288402 -1.70554 -0.0217354 -1.74467 1.0303e+19 1.04301e+19 8066.54 350.526 -74759.9 0 0 0 0 0 -569920 0 0 
-3.48485 -0.289156 -1.70629 -0.0217358 -1.74467 1.06123e+19 1.07699e+19 8066.54 350.526 -74558.8 0 0 0 0 0 -569920 0 0 
-3.38384 -0.289908 -1.70705 -0.0217362 -1.74467 1.08978e+19 1.10877e+19 8066.54 350.526 -74313.3 0 0 0 0 0 -569920 0 0 
-3.28283 -0.290657 -1.7078 -0.0217366 -1.74467 1.11591e+19 1.13845e+19 8066.54 350.526 -74019.8 0 0 0 0 0 -569920 0 0 
-3.18182 -0.291403 -1.70854 -0.021737 -1.74467 1.13957e+19 1.16614e+19 8066.54 350.526 -73672.8 0 0 0 0 0 -569920 0 0 
-3.08081 -0.292145 -1.70928 -0.0217373 -1.74467 1.16077e+19 1.19195e+19 8066.54 350.526 -73264.7 0 0 0 0 0 -569920 0 0 
-2.9798 -0.292883 -1.71002 -0.0217377 -1.74467 1.17951e+19 1.21599e+19 8066.54 350.526 -72786.4 0 0 0 0 0 -569920 0 0 
-2.87879 -0.293616 -1.71075 -0.021738 -1.74468 1.19584e+19 1.23838e+19 8066.54 350.526 -72227.9 0 0 0 0 0 -569920 0 0 
-2.77778 -0.294342 -1.71148 -0.0217384 -1.74468 1.20979e+19 1.25921e+19 8066.54 350.526 -71577.9 0 0 0 0 0 -569920 0 0 
-2.67677 -0.295062 -1.7122 -0.0217387 -1.74468 1.22146e+19 1.27857e+19 8066.54 350.526 -70824.9 0 0 0 0 0 -569920 0 0 
-2.57576 -0.295773 -1.71291 -0.0217391 -1.74468 1.23092e+19 1.29654e+19 8066.54 350.526 -69957.4 0 0 0 0 0 -569920 0 0 
-2.47475 -0.296475 -1.71361 -0.0217394 -1.74468 1.23829e+19 1.31319e+19 8066.54 350.526 -68964.3 0 0 0 0 0 -569920 0 0 
-2.37374 -0.297166 -1.7143 -0.0217397 -1.74468 1.24368e+19 1.32856e+19 8066.54 350.526 -67835 0 0 0 0 0 -569920 0 0 
-2.27273 -0.297846 -1.71498 -0.0217401 -1.74468 1.24722e+19 1.34272e+19 8066.54 350.526 -66560.1 0 0 0 0 0 -569920 0 0 
-2.17172 -0.298511 -1.71565 -0.0217404 -1.74468 1.24906e+19 1.3557e+19 8066.54 350.526 -65131.4 0 0 0 0 0 -569920 0 0 
-2.07071 -0.299161 -1.7163 -0.0217407 -1.74468 1.24935e+19 1.36753e+19 8066.54 350.526 -63542.4 0 0 0 0 0 -569920 0 0 
-1.9697 -0.299795 -1.71693 -0.0217411 -1.74468 1.24823e+19 1.37824e+19 8066.54 350.526 -61788.2 0 0 0 0 0 -569920 0 0 
-1.86869 -0.30041 -1.71755 -0.0217414 -1.74468 1.24587e+19 1.38788e+19 8066.54 350.526 -59865.5 0 0 0 0 0 -569920 0 0 
-1.76768 -0.301004 -1.71814 -0.0217417 -1.74468 1.24244e+19 1.39647e+19 8066.54 350.526 -57773.1 0 0 0 0 0 -569920 0 0 
-1.66667 -0.301577 -1.71872 -0.0217421 -1.74468 1.23809e+19 1.40404e+19 8066.54 350.526 -55511.5 0 0 0 0 0 -569920 0 0 
-1.56566 -0.302126 -1.71926 -0.0217424 -1.74468 1.233e+19 1.41064e+19 8066.54 350.526 -53083 0 0 0 0 0 -569920 0 0 
-1.46465 -0.302649 -1.71979 -0.0217427 -1.74468 1.22732e+19 1.41632e+19 8066.54 350.526 -50491.4 0 0 0 0 0 -569920 0 0 
-1.36364 -0.303146 -1.72028 -0.0217431 -1.74468 1.22121e+19 1.42114e+19 8066.54 350.526 -47742.4 0 0 0 0 0 -569921 0 0 
-1.26263 -0.303614 -1.72075 -0.0217434 -1.74468 1.21482e+19 1.42515e+19 8066.54 350.526 -44842.7 0 0 0 0 0 -569921 0 0 
-1.16162 -0.304052 -1.72119 -0.0217438 -1.74468 1.20832e+19 1.42841e+19 8066.54 350.526 -41800.5 0 0 0 0 0 -569921 0 0 
-1.06061 -0.304458 -1.7216 -0.0217441 -1.74468 1.20182e+19 1.43102e+19 8066.54 350.526 -38624.8 0 0 0 0 0 -569921 0 0 
-0.959596 -0.304832 -1.72197 -0.0217445 -1.74468 1.19547e+19 1.43304e+19 8066.54 350.526 -35325.7 0 0 0 0 0 -569921 0 0 
-0.858586 -0.305172 -1.72231 -0.0217448 -1.74468 1.18939e+19 1.43455e+19 8066.54 350.526 -31913.7 0 0 0 0 0 -569921 0 0 
-0.757576 -0.305477 -1.72262 -0.0217452 -1.74468 1.18369e+19 1.43564e+19 8066.54 350.526 -28400 0 0 0 0 0 -569921 0 0 
-0.656566 -0.305745 -1.72288 -0.0217455 -1.74469 1.17847e+19 1.43639e+19 8066.54 350.526 -24796.2 0 0 0 0 0 -569921 0 0 
-0.555556 -0.305977 -1.72312 -0.0217459 -1.74469 1.17383e+19 1.43687e+19 8066.54 350.526 -21114.1 0 0 0 0 0 -569921 0 0 
-0.454545 -0.306172 -1.72331 -0.0217462 -1.74469 1.16983e+19 1.43714e+19 8066.54 350.526 -17365.5 0 0 0 0 0 -569921 0 0 
-0.353535 -0.306328 -1.72347 -0.0217466 -1.74469 1.16656e+19 1.43729e+19 8066.54 350.526 -13562.6 0 0 0 0 0 -569921 0 0 
-0.252525 -0.306446 -1.72358 -0.021747 -1.74469 1.16406e+19 1.43735e+19 8066.54 350.526 -9717.51 0 0 0 0 0 -569921 0 0 
-0.151515 -0.306525 -1.72366 -0.0217473 -1.74469 1.16237e+19 1.43736e+19 8066.54 350.526 -5842.22 0 0 0 0 0 -569921 0 0 
-0.0505051 -0.306564 -1.7237 -0.0217477 -1.74469 1.16151e+19 1.43736e+19 8066.54 350.526 -1948.84 0 0 0 0 0 -569921 0 0 
