# ASCII 1D datafile generated by TiberCAD
# x Ec Ev eQFermi hQFermi eDensity hDensity eMobility hMobility ElField_x ElField_y ElField_z Polarization_x Polarization_y Polarization_z CurrentDensity_x CurrentDensity_y CurrentDensity_z 
-6.38191 -0.0181757 -1.44066 0 0 4.53978e+17 1.02221e-05 8066.54 350.526 40214.7 0 0 0 0 0 0 0 0 
-6.28141 -0.0177748 -1.44026 0 0 4.58134e+17 1.03819e-05 8066.54 350.526 39573.4 0 0 0 0 0 0 0 0 
-6.1809 -0.0173803 -1.43986 0 0 4.61896e+17 1.05415e-05 8066.54 350.526 38926.5 0 0 0 0 0 0 0 0 
-6.0804 -0.0169923 -1.43947 0 0 4.65275e+17 1.07009e-05 8066.54 350.526 38274.6 0 0 0 0 0 0 0 0 
-5.9799 -0.0166109 -1.43909 0 0 4.68281e+17 1.08599e-05 8066.54 350.526 37618.2 0 0 0 0 0 0 0 0 
-5.8794 -0.0162362 -1.43872 0 0 4.70923e+17 1.10185e-05 8066.54 350.526 36957.8 0 0 0 0 0 0 0 0 
-5.77889 -0.0158681 -1.43835 0 0 4.73215e+17 1.11765e-05 8066.54 350.526 36294 0 0 0 0 0 0 0 0 
-5.67839 -0.0155067 -1.43799 0 0 4.75169e+17 1.13339e-05 8066.54 350.526 35627.1 0 0 0 0 0 0 0 0 
-5.57789 -0.0151519 -1.43763 0 0 4.76797e+17 1.14904e-05 8066.54 350.526 34957.8 0 0 0 0 0 0 0 0 
-5.47739 -0.014804 -1.43729 0 0 4.78114e+17 1.16461e-05 8066.54 350.526 34286.4 0 0 0 0 0 0 0 0 
-5.37688 -0.0144628 -1.43694 0 0 4.79132e+17 1.18009e-05 8066.54 350.526 33613.4 0 0 0 0 0 0 0 0 
-5.27638 -0.0141283 -1.43661 0 0 4.79867e+17 1.19545e-05 8066.54 350.526 32939.1 0 0 0 0 0 0 0 0 
-5.17588 -0.0138007 -1.43628 0 0 4.80333e+17 1.2107e-05 8066.54 350.526 32264 0 0 0 0 0 0 0 0 
-5.07538 -0.0134798 -1.43596 0 0 4.80544e+17 1.22582e-05 8066.54 350.526 31588.4 0 0 0 0 0 0 0 0 
-4.97487 -0.0131657 -1.43565 0 0 4.80514e+17 1.2408e-05 8066.54 350.526 30912.6 0 0 0 0 0 0 0 0 
-4.87437 -0.0128585 -1.43534 0 0 4.8026e+17 1.25564e-05 8066.54 350.526 30237.1 0 0 0 0 0 0 0 0 
