# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Strain_11
# 3 Strain_22
# 4 Strain_33
# 5 Strain_12
# 6 Strain_23
# 7 Strain_13
# x Strain_11 Strain_22 Strain_33 Strain_12 Strain_23 Strain_13 
574.476 -5.89409e-15 0 0 0 0 0 
574.955 -5.89409e-15 0 0 0 0 0 
575.427 -5.89409e-15 0 0 0 0 0 
575.892 -5.89409e-15 0 0 0 0 0 
576.351 -5.89409e-15 0 0 0 0 0 
576.804 -5.89409e-15 0 0 0 0 0 
577.251 -5.89409e-15 0 0 0 0 0 
577.691 -5.89409e-15 0 0 0 0 0 
578.126 -5.89409e-15 0 0 0 0 0 
578.554 -5.89409e-15 0 0 0 0 0 
578.977 -5.89409e-15 0 0 0 0 0 
579.394 -5.89409e-15 0 0 0 0 0 
579.806 -5.89409e-15 0 0 0 0 0 
580.212 -5.89409e-15 0 0 0 0 0 
580.612 -5.89409e-15 0 0 0 0 0 
581.007 -5.89409e-15 0 0 0 0 0 
581.396 -5.89409e-15 0 0 0 0 0 
581.78 -5.89409e-15 0 0 0 0 0 
582.159 -5.89409e-15 0 0 0 0 0 
582.533 -5.89409e-15 0 0 0 0 0 
582.902 -5.89409e-15 0 0 0 0 0 
583.265 -5.89409e-15 0 0 0 0 0 
583.624 -5.89409e-15 0 0 0 0 0 
583.978 -5.89409e-15 0 0 0 0 0 
584.327 -5.89409e-15 0 0 0 0 0 
584.671 -5.89409e-15 0 0 0 0 0 
585.011 -5.89409e-15 0 0 0 0 0 
585.346 -5.89409e-15 0 0 0 0 0 
585.676 -5.89409e-15 0 0 0 0 0 
586.002 -5.89409e-15 0 0 0 0 0 
586.323 -5.89409e-15 0 0 0 0 0 
586.641 -5.89409e-15 0 0 0 0 0 
586.953 -5.89409e-15 0 0 0 0 0 
587.262 -5.89409e-15 0 0 0 0 0 
587.566 -5.89409e-15 0 0 0 0 0 
587.866 -5.89409e-15 0 0 0 0 0 
588.162 -5.89409e-15 0 0 0 0 0 
588.454 -5.89409e-15 0 0 0 0 0 
588.742 -5.89409e-15 0 0 0 0 0 
589.027 -5.89409e-15 0 0 0 0 0 
589.307 -5.89409e-15 0 0 0 0 0 
589.583 -5.89409e-15 0 0 0 0 0 
589.856 -5.89409e-15 0 0 0 0 0 
590.125 -5.89409e-15 0 0 0 0 0 
590.39 -5.89409e-15 0 0 0 0 0 
590.652 -5.89409e-15 0 0 0 0 0 
590.91 -5.89409e-15 0 0 0 0 0 
591.165 -5.89409e-15 0 0 0 0 0 
591.416 -5.89409e-15 0 0 0 0 0 
591.664 -5.89409e-15 0 0 0 0 0 
591.908 -5.89409e-15 0 0 0 0 0 
592.149 -5.89409e-15 0 0 0 0 0 
592.387 -5.89409e-15 0 0 0 0 0 
592.622 -5.89409e-15 0 0 0 0 0 
592.853 -5.89409e-15 0 0 0 0 0 
593.081 -5.89409e-15 0 0 0 0 0 
593.306 -5.89409e-15 0 0 0 0 0 
593.528 -5.89409e-15 0 0 0 0 0 
593.747 -5.89409e-15 0 0 0 0 0 
593.963 -5.89409e-15 0 0 0 0 0 
594.176 -5.89409e-15 0 0 0 0 0 
594.386 -5.89409e-15 0 0 0 0 0 
594.594 -5.89409e-15 0 0 0 0 0 
594.798 -5.89409e-15 0 0 0 0 0 
595 -5.89409e-15 0 0 0 0 0 
595 -5.89409e-15 0 0 0 0 0 
595.208 -5.89409e-15 0 0 0 0 0 
595.417 -5.89409e-15 0 0 0 0 0 
595.625 -5.89409e-15 0 0 0 0 0 
595.833 -5.89409e-15 0 0 0 0 0 
596.042 -5.89409e-15 0 0 0 0 0 
596.25 -5.89409e-15 0 0 0 0 0 
596.458 -5.89409e-15 0 0 0 0 0 
596.667 -5.89409e-15 0 0 0 0 0 
596.875 -5.89409e-15 0 0 0 0 0 
597.083 -5.89409e-15 0 0 0 0 0 
597.292 -5.89409e-15 0 0 0 0 0 
597.5 -5.89409e-15 0 0 0 0 0 
597.708 -5.89409e-15 0 0 0 0 0 
597.917 -5.89409e-15 0 0 0 0 0 
598.125 -5.89409e-15 0 0 0 0 0 
598.333 -5.89409e-15 0 0 0 0 0 
598.542 -5.89409e-15 0 0 0 0 0 
598.75 -5.89409e-15 0 0 0 0 0 
598.958 -5.89409e-15 0 0 0 0 0 
599.167 -5.89409e-15 0 0 0 0 0 
599.375 -5.89409e-15 0 0 0 0 0 
599.583 -5.89409e-15 0 0 0 0 0 
599.792 -5.89409e-15 0 0 0 0 0 
600 -5.89409e-15 0 0 0 0 0 
600 0.0272212 -0.0278611 -0.0278611 0 0 0 
600.2 0.0272212 -0.0278611 -0.0278611 0 0 0 
600.4 0.0272212 -0.0278611 -0.0278611 0 0 0 
600.6 0.0272212 -0.0278611 -0.0278611 0 0 0 
600.8 0.0272212 -0.0278611 -0.0278611 0 0 0 
601 0.0272212 -0.0278611 -0.0278611 0 0 0 
